partner_id,partner_name,vehicle_type,experience_years,rating
1,Chandran Pau,Bike,10,4.8
2,Onkar Prashad,Scooter,6,4.9
3,Balveer Singhal,Bike,3,3.9
4,Niharika Johal,Scooter,6,4.9
5,Nirja Sharma,Bike,6,4.9
6,Anay Vora,Cycle,3,4.3
7,Jeremiah Bhattacharyya,Bike,8,4.3
8,Amrita Batta,Bike,8,3.6
9,Manya Krishnan,Bike,4,4.4
10,Abdul Lal,Bike,9,4.2
11,Peter Som,Scooter,10,3.8
12,Yuvraj Varty,Bike,6,4.6
13,Kritika Guha,Scooter,1,3.5
14,Mugdha Loyal,Cycle,3,4.7
15,Mohammed Bhatti,Cycle,6,4.9
16,Mugdha Merchant,Scooter,7,4.4
17,Damyanti Reddy,Scooter,5,4.0
18,Nathan Bail,Bike,7,4.7
19,Oni De,Scooter,6,3.8
20,Raagini Kala,Cycle,10,4.7
21,Dayita Krishnamurthy,Bike,10,4.7
22,Turvi Baria,Scooter,5,4.6
23,Bishakha Ramakrishnan,Scooter,3,3.8
24,Isha Prakash,Bike,10,4.1
25,Brijesh Grover,Cycle,1,3.8
26,Veer Pillay,Scooter,10,3.8
27,Rachit Memon,Cycle,2,4.9
28,Arin Chad,Bike,6,4.6
29,Krishna Morar,Bike,6,5.0
30,Ati Mannan,Bike,2,4.7
31,Upkaar Chopra,Cycle,6,4.2
32,Wyatt Tella,Scooter,4,3.9
33,Anya Narula,Bike,6,3.9
34,Udyati Bhatia,Bike,1,3.6
35,Baljiwan Mann,Scooter,7,5.0
36,Bishakha Khare,Scooter,8,4.8
37,Tarak Joshi,Scooter,9,4.1
38,Rishi Vora,Scooter,10,4.5
39,Divya Das,Cycle,4,3.7
40,Tristan Dhaliwal,Bike,1,3.9
41,Gautam Chandra,Scooter,5,4.9
42,Unnati Dasgupta,Bike,6,3.8
43,Rushil Khosla,Scooter,3,4.6
44,Rudra Tailor,Cycle,2,4.0
45,Krish Ravel,Cycle,8,4.6
46,Upkaar Baral,Scooter,3,4.4
47,Bakhshi Bose,Scooter,3,3.6
48,Yashasvi Taneja,Scooter,4,5.0
49,Lopa Chandran,Scooter,9,4.6
50,Xiti Ray,Cycle,9,3.9
51,Advaith Goyal,Scooter,5,3.9
